item	file	content
Supplementary Table 1	Supplementary_Table_1_signatures_overlap_coverage_v2_5.xlsx	Locked gene sets, cohort coverage, component overlap, and component correlations
Supplementary Table 2	Supplementary_Table_2_all_models_v2_5.xlsx	Response, survival, meta-analysis, and exploratory single-cell results, including the six-independent-cohort sensitivity synthesis
Supplementary Table 3	Supplementary_Table_3_GSE266919_sources_v2_5.xlsx	Actual GSE266919 subcluster-level module scores and contributing counts
Supplementary Table 4	Supplementary_Table_4_cohort_reporting_v2_5.xlsx	External cohort eligibility, effects, sample flow, missingness, and endpoint mappings
Supplementary Table 5	Supplementary_Table_5_software_environment_v2_5.xlsx	Verified analysis software and package versions
Supplementary Figure 1	Supplementary_Figure1_GSE266919_detailed_source_v2_5.pdf	Detailed GSE266919 immune-subcluster source localization
