dataset	analysis_subset	endpoint	n_total	n_event_or_pCR	model_name	variable	effect_type	estimate	conf_low	conf_high	p_value	covariates	notes	source_file	signature	n_signature_genes	n_genes_found	coverage	missing_genes	n_non_event_or_RD	log_effect	se_log_effect	source_context	meta_set	include_GSE194040	include_GSE25066	k	fixed_estimate	fixed_conf_low	fixed_conf_high	fixed_p_value	random_estimate	random_conf_low	random_conf_high	random_p_value	I2	Q_p_value	included_datasets	analysis_level	source_celltype	module	n_pairs	mean_delta	median_delta	sd_delta	min_delta	max_delta	test	statistic	p_adj_BH_within_module	MajorCluster	SubCluster	Subset	comparison	value	p_adj_BH	n_samples	n_patients	n_R	n_NR	effect_R_minus_NR
GSE194040	primary_TNBC	pCR	363	142	axis_plus_prolif_cytolytic	treatment_armPaclitaxel + ABT 888 + Carboplatin	OR	5.239221942752986	2.177080009588209	12.60837748017189	2.1871439072243423e-4	pCR_binary ~ treatment_arm + scale(APC_CXCL9_axis) + scale(Proliferation) +      scale(Cytolytic)	NA	results/GSE194040_APC_CXCL9_axis_models.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE194040	primary_TNBC	pCR	363	142	axis_plus_prolif_cytolytic	treatment_armPaclitaxel + AMG 386	OR	3.151753520746973	1.427078456354811	6.960759733500724	0.00451522157382437	pCR_binary ~ treatment_arm + scale(APC_CXCL9_axis) + scale(Proliferation) +      scale(Cytolytic)	NA	results/GSE194040_APC_CXCL9_axis_models.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE194040	primary_TNBC	pCR	363	142	axis_plus_prolif_cytolytic	treatment_armPaclitaxel + Ganetespib	OR	2.376978004508134	1.0282909463369068	5.494577632957503	0.04284104795192515	pCR_binary ~ treatment_arm + scale(APC_CXCL9_axis) + scale(Proliferation) +      scale(Cytolytic)	NA	results/GSE194040_APC_CXCL9_axis_models.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE194040	primary_TNBC	pCR	363	142	axis_plus_prolif_cytolytic	treatment_armPaclitaxel + Ganitumab	OR	1.9147457440371216	0.8209608085058032	4.465805463942989	0.13273293602573455	pCR_binary ~ treatment_arm + scale(APC_CXCL9_axis) + scale(Proliferation) +      scale(Cytolytic)	NA	results/GSE194040_APC_CXCL9_axis_models.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE194040	primary_TNBC	pCR	363	142	axis_plus_prolif_cytolytic	treatment_armPaclitaxel + MK-2206	OR	3.2830879135252324	1.2842717374004382	8.392823679008249	0.01304791569285859	pCR_binary ~ treatment_arm + scale(APC_CXCL9_axis) + scale(Proliferation) +      scale(Cytolytic)	NA	results/GSE194040_APC_CXCL9_axis_models.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE194040	primary_TNBC	pCR	363	142	axis_plus_prolif_cytolytic	treatment_armPaclitaxel + Neratinib	OR	2.845279555629221	1.1030694466600328	7.339171413181834	0.0305481679457522	pCR_binary ~ treatment_arm + scale(APC_CXCL9_axis) + scale(Proliferation) +      scale(Cytolytic)	NA	results/GSE194040_APC_CXCL9_axis_models.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE194040	primary_TNBC	pCR	363	142	axis_plus_prolif_cytolytic	treatment_armPaclitaxel + Pembrolizumab	OR	8.803406889283071	3.2661064236553607	23.728551004024	1.7107105248095044e-5	pCR_binary ~ treatment_arm + scale(APC_CXCL9_axis) + scale(Proliferation) +      scale(Cytolytic)	NA	results/GSE194040_APC_CXCL9_axis_models.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE194040	primary_TNBC	pCR	363	142	axis_plus_prolif_cytolytic	scale(APC_CXCL9_axis)	OR	2.4418741534402444	1.5845006891303397	3.7631724758114142	5.213100415619468e-5	pCR_binary ~ treatment_arm + scale(APC_CXCL9_axis) + scale(Proliferation) +      scale(Cytolytic)	NA	results/GSE194040_APC_CXCL9_axis_models.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE194040	primary_TNBC	pCR	363	142	axis_plus_prolif_cytolytic	scale(Proliferation)	OR	1.584370738733376	1.217109722660172	2.0624522103628147	6.254733857904966e-4	pCR_binary ~ treatment_arm + scale(APC_CXCL9_axis) + scale(Proliferation) +      scale(Cytolytic)	NA	results/GSE194040_APC_CXCL9_axis_models.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE194040	primary_TNBC	pCR	363	142	axis_plus_prolif_cytolytic	scale(Cytolytic)	OR	0.7834311357005674	0.5256030137895895	1.1677336854670022	0.2307071261344862	pCR_binary ~ treatment_arm + scale(APC_CXCL9_axis) + scale(Proliferation) +      scale(Cytolytic)	NA	results/GSE194040_APC_CXCL9_axis_models.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE194040	arm_Paclitaxel	pCR	85	17	arm_specific_axis	(Intercept)	OR	0.22808518129189273	0.12822071282331995	0.4057289089995918	4.911843272084877e-7	pCR_binary ~ scale(APC_CXCL9_axis)	NA	results/GSE194040_APC_CXCL9_axis_models.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE194040	arm_Paclitaxel	pCR	85	17	arm_specific_axis	scale(APC_CXCL9_axis)	OR	1.7688901566230215	0.9463403138404868	3.306392362700541	0.0739084298917795	pCR_binary ~ scale(APC_CXCL9_axis)	NA	results/GSE194040_APC_CXCL9_axis_models.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE194040	arm_Paclitaxel + ABT 888 + Carboplatin	pCR	39	22	arm_specific_axis	(Intercept)	OR	1.3100466374494832	0.6626259123288815	2.590031811857191	0.43740636671645255	pCR_binary ~ scale(APC_CXCL9_axis)	NA	results/GSE194040_APC_CXCL9_axis_models.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE194040	arm_Paclitaxel + ABT 888 + Carboplatin	pCR	39	22	arm_specific_axis	scale(APC_CXCL9_axis)	OR	2.3506399458149723	1.0792112941198957	5.119950268280974	0.0314026162473251	pCR_binary ~ scale(APC_CXCL9_axis)	NA	results/GSE194040_APC_CXCL9_axis_models.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE194040	arm_Paclitaxel + AMG 386	pCR	53	23	arm_specific_axis	(Intercept)	OR	0.6549038726078503	0.34203506432661873	1.2539623187498454	0.20155039327234375	pCR_binary ~ scale(APC_CXCL9_axis)	NA	results/GSE194040_APC_CXCL9_axis_models.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
