dataset	analysis_subset	endpoint	n_total	n_event_or_pCR	model_name	variable	effect_type	estimate	conf_low	conf_high	p_value	covariates	notes
GSE32646	primary_TNBC	pCR	26	10	aggregate_BIR_descriptive	TNBC_BIR_favorable_score	OR_per_1SD	1.9610875404739023	0.7744937630824038	4.965649208194839	0.1553525410504916	pCR_binary ~ z_TNBC_BIR_favorable_score	underpowered: pCR events <15
GSE32646	ER_HER2_negative_sensitivity	pCR	26	10	axis_only	APC_CXCL9_axis	OR_per_1SD	0.9738174032422516	0.4356453427179833	2.176817337104832	0.948455137649608	pCR_binary ~ z_APC_CXCL9_axis	underpowered: pCR events <15
GSE32646	ER_HER2_negative_sensitivity	pCR	26	10	axis_plus_proliferation	APC_CXCL9_axis	OR_per_1SD	0.943594452192814	0.4068829718297829	2.188271694450605	0.8923889230375379	pCR_binary ~ z_APC_CXCL9_axis + z_Proliferation	underpowered: pCR events <15
GSE32646	ER_HER2_negative_sensitivity	pCR	26	10	axis_plus_proliferation	Proliferation	OR_per_1SD	1.5278076269945104	0.6488341991586163	3.5975232935155	0.33204956394357926	pCR_binary ~ z_APC_CXCL9_axis + z_Proliferation	underpowered: pCR events <15
GSE32646	ER_HER2_negative_sensitivity	pCR	26	10	immune_only	Immune_remodeling_score	OR_per_1SD	1.228112692852224	0.5446142151757036	2.7694113453468083	0.6204041814366589	pCR_binary ~ z_Immune_remodeling_score	underpowered: pCR events <15
GSE32646	ER_HER2_negative_sensitivity	pCR	26	10	proliferation_only	Proliferation	OR_per_1SD	1.5253415026915578	0.6442522432870028	3.6114219610048792	0.3369734861762405	pCR_binary ~ z_Proliferation	underpowered: pCR events <15
GSE32646	ER_HER2_negative_sensitivity	pCR	26	10	aggregate_BIR_descriptive	TNBC_BIR_favorable_score	OR_per_1SD	1.9610875404739023	0.7744937630824038	4.965649208194839	0.1553525410504916	pCR_binary ~ z_TNBC_BIR_favorable_score	underpowered: pCR events <15
GSE163882	primary_TNBC	pCR	90	38	axis_only	APC_CXCL9_axis	OR_per_1SD	1.715109954403961	1.0844115177414504	2.7126253341740187	0.02108465150702325	pCR_binary ~ z_APC_CXCL9_axis	
GSE163882	primary_TNBC	pCR	90	38	axis_plus_proliferation	APC_CXCL9_axis	OR_per_1SD	1.45651608693544	0.8604542425057589	2.465487421299486	0.16141449702336552	pCR_binary ~ z_APC_CXCL9_axis + z_Proliferation	
GSE163882	primary_TNBC	pCR	90	38	axis_plus_proliferation	Proliferation	OR_per_1SD	1.4037882109153563	0.8180014153510968	2.40906837582808	0.2183498117528222	pCR_binary ~ z_APC_CXCL9_axis + z_Proliferation	
GSE163882	primary_TNBC	pCR	90	38	immune_only	Immune_remodeling_score	OR_per_1SD	1.5927408206256624	1.0168634317052698	2.4947532211214254	0.04204820330882571	pCR_binary ~ z_Immune_remodeling_score	
GSE163882	primary_TNBC	pCR	90	38	proliferation_only	Proliferation	OR_per_1SD	1.6907947526874756	1.0587438523179589	2.7001685907848456	0.02787740832463228	pCR_binary ~ z_Proliferation	
GSE163882	primary_TNBC	pCR	90	38	aggregate_BIR_descriptive	TNBC_BIR_favorable_score	OR_per_1SD	0.915727468854702	0.5994865938229432	1.3987915757507416	0.6837862412559492	pCR_binary ~ z_TNBC_BIR_favorable_score	
GSE163882	ER_HER2_negative_sensitivity	pCR	90	38	axis_only	APC_CXCL9_axis	OR_per_1SD	1.715109954403961	1.0844115177414504	2.7126253341740187	0.02108465150702325	pCR_binary ~ z_APC_CXCL9_axis	
GSE163882	ER_HER2_negative_sensitivity	pCR	90	38	axis_plus_proliferation	APC_CXCL9_axis	OR_per_1SD	1.45651608693544	0.8604542425057589	2.465487421299486	0.16141449702336552	pCR_binary ~ z_APC_CXCL9_axis + z_Proliferation	
GSE163882	ER_HER2_negative_sensitivity	pCR	90	38	axis_plus_proliferation	Proliferation	OR_per_1SD	1.4037882109153563	0.8180014153510968	2.40906837582808	0.2183498117528222	pCR_binary ~ z_APC_CXCL9_axis + z_Proliferation	
GSE163882	ER_HER2_negative_sensitivity	pCR	90	38	immune_only	Immune_remodeling_score	OR_per_1SD	1.5927408206256624	1.0168634317052698	2.4947532211214254	0.04204820330882571	pCR_binary ~ z_Immune_remodeling_score	
GSE163882	ER_HER2_negative_sensitivity	pCR	90	38	proliferation_only	Proliferation	OR_per_1SD	1.6907947526874756	1.0587438523179589	2.7001685907848456	0.02787740832463228	pCR_binary ~ z_Proliferation	
GSE163882	ER_HER2_negative_sensitivity	pCR	90	38	aggregate_BIR_descriptive	TNBC_BIR_favorable_score	OR_per_1SD	0.915727468854702	0.5994865938229432	1.3987915757507416	0.6837862412559492	pCR_binary ~ z_TNBC_BIR_favorable_score	
	primary_TNBC	pCR				APC_CXCL9_axis	OR_per_1SD						Non-I-SPY2 manual external NAC cohorts only.
	primary_TNBC	pCR				APC_CXCL9_axis	OR_per_1SD						Context-only pooled result including I-SPY2/GSE194040; not used as non-I-SPY2 validation.
	primary_TNBC	pCR				APC_CXCL9_axis	OR_per_1SD						Context-only pooled result including decisive negative GSE25066 processed axis model.
