dataset	analysis_subset	endpoint	n_total	n_event_or_pCR	model_name	variable	effect_type	estimate	conf_low	conf_high	p_value	covariates	notes
GSE194040	arm_Paclitaxel + ABT 888 + Carboplatin	pCR	39	22	arm_specific_axis	scale(APC_CXCL9_axis)	OR	2.3506399458149723	1.0792112941198957	5.119950268280974	0.0314026162473251	pCR_binary ~ scale(APC_CXCL9_axis)	
GSE194040	arm_Paclitaxel + AMG 386	pCR	53	23	arm_specific_axis	(Intercept)	OR	0.6549038726078503	0.34203506432661873	1.2539623187498454	0.20155039327234375	pCR_binary ~ scale(APC_CXCL9_axis)	
GSE194040	arm_Paclitaxel + AMG 386	pCR	53	23	arm_specific_axis	scale(APC_CXCL9_axis)	OR	3.987601666585516	1.6174789090953676	9.830710596559657	0.00265990511758029	pCR_binary ~ scale(APC_CXCL9_axis)	
GSE194040	arm_Paclitaxel + Ganetespib	pCR	45	19	arm_specific_axis	(Intercept)	OR	0.7295669918440318	0.4031675425776488	1.3202153927999711	0.2974219487218586	pCR_binary ~ scale(APC_CXCL9_axis)	
GSE194040	arm_Paclitaxel + Ganetespib	pCR	45	19	arm_specific_axis	scale(APC_CXCL9_axis)	OR	1.150274268544187	0.6263315568679316	2.112508747749172	0.6516945756674652	pCR_binary ~ scale(APC_CXCL9_axis)	
GSE194040	arm_Paclitaxel + Ganitumab	pCR	48	16	arm_specific_axis	(Intercept)	OR	0.4911084032399548	0.26660027009321763	0.9046782422559666	0.02252508629133676	pCR_binary ~ scale(APC_CXCL9_axis)	
GSE194040	arm_Paclitaxel + Ganitumab	pCR	48	16	arm_specific_axis	scale(APC_CXCL9_axis)	OR	1.4037418601011564	0.7516170718547361	2.6216690434369063	0.28727894565930506	pCR_binary ~ scale(APC_CXCL9_axis)	
GSE194040	arm_Paclitaxel + MK-2206	pCR	32	13	arm_specific_axis	(Intercept)	OR	0.6841760988787822	0.3378785295690615	1.3854000574526335	0.29170720214273993	pCR_binary ~ scale(APC_CXCL9_axis)	
GSE194040	arm_Paclitaxel + MK-2206	pCR	32	13	arm_specific_axis	scale(APC_CXCL9_axis)	OR	1.0238225836878885	0.499930493164257	2.096716838044409	0.9486728793233824	pCR_binary ~ scale(APC_CXCL9_axis)	
GSE194040	arm_Paclitaxel + Neratinib	pCR	32	13	arm_specific_axis	(Intercept)	OR	0.6355750955770365	0.29414484479615294	1.3733223929105638	0.24891941240092197	pCR_binary ~ scale(APC_CXCL9_axis)	
GSE194040	arm_Paclitaxel + Neratinib	pCR	32	13	arm_specific_axis	scale(APC_CXCL9_axis)	OR	2.348169117650742	0.9691927896288708	5.6891655242297885	0.05866535387427651	pCR_binary ~ scale(APC_CXCL9_axis)	
GSE194040	arm_Paclitaxel + Pembrolizumab	pCR	29	19	arm_specific_axis	(Intercept)	OR	2.240010215498375	0.8995873174271356	5.577719547989842	0.08315677314733383	pCR_binary ~ scale(APC_CXCL9_axis)	
GSE194040	arm_Paclitaxel + Pembrolizumab	pCR	29	19	arm_specific_axis	scale(APC_CXCL9_axis)	OR	3.8069047939281417	1.241691527201224	11.671597810367	0.01935019249626246	pCR_binary ~ scale(APC_CXCL9_axis)	
GSE25066_RMA	primary_TNBC	pCR	170	57	pCR_BIR	(Intercept)	OR	0.4854156514609526	0.3262786605951762	0.7221690632585139	3.625316482471242e-4	pCR_binary ~ cohort + scale(TNBC_BIR_favorable_score)	
GSE25066_RMA	primary_TNBC	pCR	170	57	pCR_BIR	cohortGSE25065	OR	1.1080776416807283	0.5630972199852843	2.1805045672660444	0.7663535612507777	pCR_binary ~ cohort + scale(TNBC_BIR_favorable_score)	
GSE25066_RMA	primary_TNBC	pCR	170	57	pCR_BIR	scale(TNBC_BIR_favorable_score)	OR	0.8690504349081598	0.6249171762587078	1.2085580091359152	0.4041855572152034	pCR_binary ~ cohort + scale(TNBC_BIR_favorable_score)	
GSE25066_RMA	primary_TNBC	pCR	170	57	pCR_Immune	(Intercept)	OR	0.49043745894481305	0.3304155763919891	0.7279587232621663	4.066802945200885e-4	pCR_binary ~ cohort + scale(Immune_remodeling_score)	
GSE25066_RMA	primary_TNBC	pCR	170	57	pCR_Immune	cohortGSE25065	OR	1.080166657316889	0.5519282639450132	2.113970390353814	0.821899044676304	pCR_binary ~ cohort + scale(Immune_remodeling_score)	
GSE25066_RMA	primary_TNBC	pCR	170	57	pCR_Immune	scale(Immune_remodeling_score)	OR	0.9046905516511206	0.6547004039715352	1.2501366873792148	0.5438404077873469	pCR_binary ~ cohort + scale(Immune_remodeling_score)	
GSE25066_RMA	primary_TNBC	pCR	170	57	pCR_APC_CXCL9_axis	(Intercept)	OR	0.4932096981896824	0.3326309366816001	0.731308424932243	4.363722311504505e-4	pCR_binary ~ cohort + scale(APC_CXCL9_axis)	
GSE25066_RMA	primary_TNBC	pCR	170	57	pCR_APC_CXCL9_axis	cohortGSE25065	OR	1.0676076029665524	0.5462584856057685	2.08653233578245	0.8482475577321495	pCR_binary ~ cohort + scale(APC_CXCL9_axis)	
GSE25066_RMA	primary_TNBC	pCR	170	57	pCR_APC_CXCL9_axis	scale(APC_CXCL9_axis)	OR	0.992007305046916	0.7206913290890342	1.3654645942671968	0.960739305317605	pCR_binary ~ cohort + scale(APC_CXCL9_axis)	
