source_context	meta_set	include_GSE194040	include_GSE25066	k	fixed_estimate	fixed_conf_low	fixed_conf_high	fixed_p_value	random_estimate	random_conf_low	random_conf_high	random_p_value	I2	Q_p_value	included_datasets
	manual_external_primary_TNBC	FALSE	FALSE	5	1.233192786470814	0.979675309616869	1.5523147655914598	0.07424703213506338	1.222206749288544	0.9502059811493596	1.572068969929654	0.11821951625775948	12.05861450354581	0.3815356936809722	GSE41998;GSE20194;GSE22226;GSE32646;GSE163882
	manual_plus_GSE194040_context	TRUE	FALSE	6	1.4833482385807195	1.2519693132391034	1.7574887608130234	5.1856347251931265e-6	1.3501025480581188	1.0320461738714677	1.7661776540823997	0.02851675249555596	49.01304572353858	0.08743849442858907	GSE41998;GSE20194;GSE22226;GSE32646;GSE163882;GSE194040
	manual_plus_GSE25066_processed_context	FALSE	TRUE	6	1.118603309874126	0.9280610645316943	1.3482662000185843	0.23944543573475743	1.122862229458668	0.8895434518485181	1.4173783008855172	0.3295222508770361	28.2187089935015	0.28683020511537277	GSE41998;GSE20194;GSE22226;GSE32646;GSE163882;GSE25066_processed
