dataset	model	estimate	conf_low	conf_high	p_value	source_key
GSE25066 RMA	Summary only	0.992007305046916	0.720691329089034	1.3654645942672	0.960739305317605	GSE25066_RMA|pCR_APC_CXCL9_axis|APC_CXCL9_axis
GSE25066 RMA	Summary + proliferation	1.12478137069026	0.800935375672013	1.57956955115182	0.497305695854123	GSE25066_RMA|pCR_APC_CXCL9_plus_proliferation|APC_CXCL9_axis
GSE163882	Summary only	1.715109954403961	1.0844115177414504	2.7126253341740187	0.02108465150702325	GSE163882|axis_only|APC_CXCL9_axis
GSE163882	Summary + proliferation	1.45651608693544	0.8604542425057589	2.465487421299486	0.16141449702336552	GSE163882|axis_plus_proliferation|APC_CXCL9_axis
GSE41998	Summary only	1.2925542603759106	0.8947833054467499	1.8671520868192408	0.17145374414981804	GSE41998|axis_only|APC_CXCL9_axis
GSE41998	Summary + proliferation	1.292271335479755	0.8942964603242228	1.86735079315554	0.17219855689501118	GSE41998|axis_plus_proliferation|APC_CXCL9_axis
GSE20194	Summary only	0.930123396063414	0.5574949672237679	1.551815859814376	0.7814917301018786	GSE20194|axis_only|APC_CXCL9_axis
GSE20194	Summary + proliferation	1.000474785608053	0.5785444440660216	1.7301173780233456	0.9986446979707324	GSE20194|axis_plus_proliferation|APC_CXCL9_axis
GSE22226	Summary only	0.8707762097526659	0.3702162908821743	2.048130312322051	0.75117583427721	GSE22226|axis_only|APC_CXCL9_axis
GSE22226	Summary + proliferation	0.8909865751293533	0.37228387266946233	2.132397171460533	0.795447302487072	GSE22226|axis_plus_proliferation|APC_CXCL9_axis
GSE32646	Summary only	0.9738174032422516	0.4356453427179833	2.176817337104832	0.948455137649608	GSE32646|axis_only|APC_CXCL9_axis
GSE32646	Summary + proliferation	0.943594452192814	0.4068829718297829	2.188271694450605	0.8923889230375379	GSE32646|axis_plus_proliferation|APC_CXCL9_axis
