dataset	odds_ratio	ci_low	ci_high	log_odds_ratio	standard_error	n_total	n_event_or_pCR	model_name	score_or_axis
GSE25066_RMA	0.992007305046916	0.720691329089034	1.3654645942672	-0.00802480776579336	0.163020173772035	170	57	pCR_APC_CXCL9_axis	APC_CXCL9_axis
GSE41998	1.29255426037591	0.89478330544675	1.86715208681924	0.256620307467751	0.187650007300671	125	51	axis_only	APC_CXCL9_axis
GSE20194	0.930123396063414	0.557494967223768	1.55181585981438	-0.0724380176974159	0.261154992547199	65	23	axis_only	APC_CXCL9_axis
GSE22226	0.870776209752666	0.370216290882174	2.04813031232205	-0.138370269984991	0.43637632867424	29	8	axis_only	APC_CXCL9_axis
GSE32646	0.973817403242252	0.435645342717983	2.17681733710483	-0.0265314639183356	0.410405784114743	26	10	axis_only	APC_CXCL9_axis
GSE163882	1.71510995440396	1.08441151774145	2.71262533417402	0.539477191917809	0.23389782246347	90	38	axis_only	APC_CXCL9_axis
